PC1,PC2,PC3
-0.56814337,-0.0068719005,-0.1142425
-0.5030969,0.044078603,-0.073324315
-0.44218263,0.08870066,-0.035868425
-0.38633752,0.121362135,-0.0016756189
-0.33667478,0.13699496,0.029034026
-0.294251,0.1332826,0.056128487
-0.25913838,0.11144966,0.079932176
-0.22909129,0.0759484,0.1007127
-0.1981927,0.033915877,0.11741008
-0.15801972,-0.0060313595,0.12675656
-0.10499443,-0.037878647,0.12470042
-0.048925847,-0.062006637,0.11009017
-0.006699077,-0.08083618,0.08565061
0.0149268145,-0.094411366,0.054839253
0.022126678,-0.10360422,0.021015242
0.023816299,-0.11101719,-0.011856589
0.025632462,-0.11881942,-0.04066477
0.030050622,-0.12809187,-0.06440651
0.03785205,-0.13912867,-0.08368579
0.049144134,-0.15169439,-0.09964072
0.063912205,-0.16522434,-0.113219894
0.08228209,-0.17898959,-0.12487446
0.10458085,-0.19218709,-0.1344402
0.13125621,-0.20393257,-0.14108106
0.16266394,-0.21318741,-0.14328146
0.19880407,-0.21868828,-0.13900845
0.2390754,-0.2189496,-0.12619933
0.28228632,-0.21235393,-0.10365512
0.32705158,-0.19720335,-0.072093084
0.37247598,-0.17145155,-0.034749147
0.41865933,-0.13193251,0.0030712662
0.4665566,-0.07352306,0.035423927
0.5171156,0.009981305,0.057178404
-0.5695031,-0.006687787,-0.11589113
-0.5021761,0.046754546,-0.075265795
-0.43918818,0.093099624,-0.037839975
-0.38173223,0.12658772,-0.0035018313
-0.33118626,0.14229104,0.027579442
-0.28884053,0.1382257,0.0555273
-0.25511584,0.116062276,0.08125845
-0.22839075,0.080488965,0.10594214
-0.20372298,0.038318608,0.12947293
-0.17321996,-0.0024964577,0.14887057
-0.13133188,-0.035624247,0.15847963
-0.08311634,-0.05978771,0.15359299
-0.042794026,-0.07681787,0.13432874
-0.019589605,-0.08770023,0.10466901
-0.01070609,-0.09370324,0.069895476
-0.008246448,-0.097410865,0.03549495
-0.006314819,-0.101347566,0.0054509714
-0.0022657877,-0.10717564,-0.018943764
0.00458299,-0.115669414,-0.0384548
0.0141680725,-0.12686001,-0.054631487
0.026356393,-0.1402663,-0.06896201
0.04126082,-0.15514325,-0.0825374
0.05937831,-0.17064498,-0.09594579
0.081628114,-0.18585211,-0.10917612
0.109258115,-0.19965068,-0.12141242
0.14358921,-0.21054274,-0.13074967
0.18545087,-0.21643502,-0.13401705
0.23448263,-0.2146577,-0.1271966
0.2887577,-0.20234178,-0.10690795
0.34539628,-0.17689793,-0.0727166
0.40215114,-0.13577195,-0.028737273
0.45875722,-0.075178176,0.017191183
0.5166534,0.01004392,0.056619115
-0.5707341,-0.006521027,-0.1173807
-0.5013197,0.050738774,-0.077319965
-0.43634605,0.100194804,-0.040083285
-0.37707344,0.13609828,-0.005940694
-0.32500035,0.15370345,0.024752999
-0.28166202,0.15129204,0.052246716
-0.24799359,0.13080233,0.07800165
-0.22342025,0.09689952,0.10417406
-0.20478521,0.055694375,0.13204561
-0.1858591,0.013953176,0.16009697
-0.15955928,-0.022111423,0.18294014
-0.12398811,-0.049235646,0.19313434
-0.08644337,-0.06779317,0.18613881
-0.057312943,-0.079188,0.16353066
-0.040337246,-0.08467702,0.13124621
-0.03192831,-0.08633252,0.09627571
-0.02687401,-0.08683866,0.06411138
-0.02184054,-0.08855961,0.037336633
-0.01548072,-0.09304527,0.015924068
-0.007488,-0.100957476,-0.0015162627
0.0021378892,-0.11224537,-0.016683659
0.0134881195,-0.12641683,-0.031081723
0.026965128,-0.14276305,-0.045865737
0.04345773,-0.16045517,-0.06178989
0.06449656,-0.17847979,-0.079067826
0.09234087,-0.19540213,-0.09700494
0.12970756,-0.20893738,-0.11332488
0.17878835,-0.21548814,-0.1234399
0.23951945,-0.2101727,-0.12066857
0.30834725,-0.1879944,-0.0988485
0.3795746,-0.14548497,-0.056911543
0.44916913,-0.08045892,-0.0013295322
0.5173566,0.009948658,0.05747004
-0.57180214,-0.0063763224,-0.11867329
-0.5009282,0.05501601,-0.07961748
-0.43452573,0.108312376,-0.042811792
-0.3736286,0.14793092,-0.009152628
-0.31954893,0.16930287,0.020518899
-0.2738706,0.17072523,0.046242625
-0.23796518,0.15404998,0.0696754
-0.21228254,0.123731494,0.09369692
